user_id,date,time_stamp,sleep_stage,sleep_duration
smcfb.01.138,2023-12-24,-1,-1,-1
smcfb.01.138,2023-12-25,-1,-1,-1
smcfb.01.138,2023-12-26,-1,-1,-1
smcfb.01.138,2023-12-27,-1,-1,-1
smcfb.01.138,2023-12-28,-1,-1,-1
smcfb.01.138,2023-12-29,-1,-1,-1
smcfb.01.138,2023-12-30,-1,-1,-1
smcfb.01.138,2023-12-31,-1,-1,-1
smcfb.01.138,2024-01-01,-1,-1,-1
smcfb.01.138,2024-01-02,-1,-1,-1
smcfb.01.138,2024-01-03,-1,-1,-1
smcfb.01.138,2024-01-04,-1,-1,-1
smcfb.01.138,2024-01-05,-1,-1,-1
smcfb.01.138,2024-01-06,-1,-1,-1
smcfb.01.138,2024-01-07,-1,-1,-1
smcfb.01.138,2024-01-08,-1,-1,-1
smcfb.01.138,2024-01-09,-1,-1,-1
smcfb.01.138,2024-01-10,-1,-1,-1
smcfb.01.138,2024-01-11,-1,-1,-1
smcfb.01.138,2024-01-12,-1,-1,-1
smcfb.01.138,2024-01-13,-1,-1,-1
smcfb.01.138,2024-01-14,-1,-1,-1
smcfb.01.138,2024-01-15,-1,-1,-1
smcfb.01.138,2024-01-16,-1,-1,-1
smcfb.01.138,2024-01-17,-1,-1,-1
smcfb.01.138,2024-01-18,-1,-1,-1
smcfb.01.138,2024-01-19,-1,-1,-1
smcfb.01.138,2024-01-20,-1,-1,-1
smcfb.01.138,2024-01-21,-1,-1,-1
smcfb.01.138,2024-01-22,-1,-1,-1
smcfb.01.138,2024-01-23,-1,-1,-1
smcfb.01.138,2024-01-24,-1,-1,-1
smcfb.01.138,2024-01-25,-1,-1,-1
smcfb.01.138,2024-01-26,-1,-1,-1
smcfb.01.138,2024-01-27,-1,-1,-1
smcfb.01.138,2024-01-28,-1,-1,-1
smcfb.01.138,2024-01-29,-1,-1,-1
smcfb.01.138,2024-01-30,-1,-1,-1
smcfb.01.138,2024-01-31,-1,-1,-1
smcfb.01.138,2024-02-01,-1,-1,-1
smcfb.01.138,2024-02-02,-1,-1,-1
smcfb.01.138,2024-02-03,-1,-1,-1
smcfb.01.138,2024-02-04,-1,-1,-1
smcfb.01.138,2024-02-05,-1,-1,-1
smcfb.01.138,2024-02-06,-1,-1,-1
smcfb.01.138,2024-02-07,-1,-1,-1
smcfb.01.138,2024-02-08,-1,-1,-1
smcfb.01.138,2024-02-09,-1,-1,-1
smcfb.01.138,2024-02-10,-1,-1,-1
smcfb.01.138,2024-02-11,-1,-1,-1
smcfb.01.138,2024-02-12,-1,-1,-1
smcfb.01.138,2024-02-13,-1,-1,-1
smcfb.01.138,2024-02-14,-1,-1,-1
smcfb.01.138,2024-02-15,-1,-1,-1
smcfb.01.138,2024-02-16,-1,-1,-1
smcfb.01.138,2024-02-17,-1,-1,-1
smcfb.01.138,2024-02-18,-1,-1,-1
smcfb.01.138,2024-02-19,-1,-1,-1
smcfb.01.138,2024-02-20,-1,-1,-1
smcfb.01.138,2024-02-21,-1,-1,-1
smcfb.01.138,2024-02-22,-1,-1,-1
smcfb.01.138,2024-02-23,-1,-1,-1
smcfb.01.138,2024-02-24,-1,-1,-1
smcfb.01.138,2024-02-25,-1,-1,-1
smcfb.01.138,2024-02-26,-1,-1,-1
smcfb.01.138,2024-02-27,-1,-1,-1
smcfb.01.138,2024-02-28,-1,-1,-1
smcfb.01.138,2024-02-29,-1,-1,-1
smcfb.01.138,2024-03-01,-1,-1,-1
smcfb.01.138,2024-03-11,-1,-1,-1
smcfb.01.138,2024-03-04,-1,-1,-1
smcfb.01.138,2024-03-13,-1,-1,-1
smcfb.01.138,2024-03-15,-1,-1,-1
smcfb.01.138,2024-03-16,-1,-1,-1
smcfb.01.138,2024-03-17,-1,-1,-1
smcfb.01.138,2024-03-03,-1,-1,-1
smcfb.01.138,2024-03-05,-1,-1,-1
smcfb.01.138,2024-03-06,-1,-1,-1
smcfb.01.138,2024-03-10,-1,-1,-1
smcfb.01.138,2024-03-18,-1,-1,-1
smcfb.01.138,2024-03-19,-1,-1,-1
smcfb.01.138,2024-03-22,-1,-1,-1
smcfb.01.138,2024-03-23,-1,-1,-1
smcfb.01.138,2024-03-24,-1,-1,-1
smcfb.01.138,2024-03-25,-1,-1,-1
smcfb.01.138,2024-03-08,-1,-1,-1
smcfb.01.138,2024-03-20,-1,-1,-1
smcfb.01.138,2024-03-02,-1,-1,-1
smcfb.01.138,2024-03-07,-1,-1,-1
smcfb.01.138,2024-03-09,-1,-1,-1
smcfb.01.138,2024-03-14,-1,-1,-1
smcfb.01.138,2024-03-26,-1,-1,-1
smcfb.01.138,2024-03-28,-1,-1,-1
smcfb.01.138,2024-03-29,-1,-1,-1
smcfb.01.138,2024-03-30,-1,-1,-1
smcfb.01.138,2024-03-31,-1,-1,-1
smcfb.01.138,2024-04-01,-1,-1,-1
smcfb.01.138,2024-04-02,-1,-1,-1
smcfb.01.138,2024-04-03,-1,-1,-1
smcfb.01.138,2024-04-04,-1,-1,-1
smcfb.01.138,2024-04-05,-1,-1,-1
smcfb.01.138,2024-04-06,-1,-1,-1
smcfb.01.138,2024-04-07,-1,-1,-1
smcfb.01.138,2024-04-08,-1,-1,-1
smcfb.01.138,2024-04-09,-1,-1,-1
smcfb.01.138,2024-04-10,-1,-1,-1
smcfb.01.138,2024-04-11,-1,-1,-1
smcfb.01.138,2024-04-12,-1,-1,-1
smcfb.01.138,2024-04-13,-1,-1,-1
smcfb.01.138,2024-04-14,-1,-1,-1
smcfb.01.138,2024-04-15,-1,-1,-1
smcfb.01.138,2024-04-16,-1,-1,-1
smcfb.01.138,2024-04-17,-1,-1,-1
smcfb.01.138,2024-04-18,-1,-1,-1
smcfb.01.138,2024-04-19,-1,-1,-1
smcfb.01.138,2024-04-20,-1,-1,-1
smcfb.01.138,2024-04-21,-1,-1,-1
smcfb.01.138,2024-04-22,-1,-1,-1
smcfb.01.138,2024-04-23,-1,-1,-1
smcfb.01.138,2024-04-24,-1,-1,-1
smcfb.01.138,2024-04-25,-1,-1,-1
smcfb.01.138,2024-04-26,-1,-1,-1
smcfb.01.138,2024-04-27,-1,-1,-1
smcfb.01.138,2024-04-28,-1,-1,-1
smcfb.01.138,2024-04-29,-1,-1,-1
smcfb.01.138,2024-04-30,-1,-1,-1
